id,code,short_name,full_name,country,date1,date2,url
rail_company_5518,5518,RWI Train Kft.,RWI Train Korlatolt Felelossegu Tarsasag,HU,13/09/2024,16/09/2024,
rail_company_5519,5519,Adler-Schiffe,Adler-Schiffe & Co KG,DE,16/09/2024,17/09/2024,https://www.adler-schiffe.de/
rail_company_5520,5520,SEM,SAINT ETIENNE METROPOLE,FR,17/09/2024,19/09/2024,https://www.saint-etienne-metropole.fr/
rail_company_5521,5521,TT-TRANS,TT-TRANS s.r.o.,SK,27/09/2024,30/09/2024,
rail_company_5522,5522,Ferysped,Ferysped AD,BG,04/10/2024,10/10/2024,https://www.ferysped.com/bg/
rail_company_5523,5523,S-Rail HU,S-Rail HU Kft.,HU,08/10/2024,10/10/2024,https://www.setg.at/
rail_company_5524,5524,APSS,Adminitração de Portos de Setubal e Sesimbra,PT,10/10/2024,14/10/2024,https://www.portodesetubal.pt/apss
rail_company_5525,5525,SR SK,S-Rail SK s.r.o.,SK,10/10/2024,14/10/2024,https://www.setg.at/
rail_company_5526,5526,NMEG,Neukölln-Mittenwalder Eisenbahn-Gesellschaft,,,,
rail_company_5527,5527,Freshrail,FFWD Fresh Rail Holding B.V.,NL,16/10/2024,25/10/2024,
rail_company_5528,5528,dream,dream mobility,DE,16/10/2024,25/10/2024,
rail_company_5529,5529,VUKV,VUKV a.s.,CZ,16/10/2024,25/10/2024,https://www.vukv.cz/
rail_company_5530,5530,EMAR,EMA Rail srl,RO,24/10/2024,25/10/2024,
rail_company_5531,5531,SRA SI,S-Rail Adria d.o.o.,SI,24/10/2024,25/10/2024,https://www.s-rail.si/
rail_company_5532,5532,KIP Infra,KIP Infra Oy,FI,24/10/2024,25/10/2024,https://kipinfra.fi/en/home/
rail_company_5533,5533,RER,Regione Emilia Romagna,IT,24/10/2024,25/10/2024,https://kipinfra.fi/
rail_company_5534,5534,Stork,Stork Cargo GmbH,DE,05/11/2024,07/11/2024,
rail_company_5535,5535,PCLA,Povazska cementaren a.s.,SK,05/11/2024,07/11/2024,https://www.pcla.sk/en/
rail_company_5536,5536,BZB AG,Bayerische Zugspitzbahn Bergbahn AG,DE,05/11/2024,07/11/2024,https://zugspitze.de/en
rail_company_5537,5537,Mdr,Mdrivers BV,NL,05/11/2024,07/11/2024,
rail_company_5538,5538,LOKOV,LOKO vlecky s.r.o.,CZ,05/11/2024,07/11/2024,
rail_company_5539,5539,LOKOP,LOKO prepravy s.r.o.,CZ,05/11/2024,07/11/2024,
rail_company_5540,5540,LokoTrain Polska,LokoTrain Polska spolka z ograniczona odpowiedzialnoscia,PL,05/11/2024,07/11/2024,https://lokotrain.eu/
rail_company_5541,5541,NPDG,Neue Pellwormer Dampfschiffahrts GmbH,DE,05/11/2024,07/11/2024,
rail_company_5542,5542,EDS,EDS Eisenbahndienstleistungen Suderelbe GmbH,DE,05/11/2024,07/11/2024,
rail_company_5543,5543,Rheinkalk GmbH,Lhoist Germany / Rheinkalk GmbH,DE,07/11/2024,08/11/2024,
rail_company_5544,5544,NDH,Neuss-Dusseldorfer Hafen GmbH Co. KG,DE,12/11/2024,13/11/2024,https://nd-haefen.de/
rail_company_5545,5545,Rostock Port,Rostock Port GmbH,DE,12/11/2024,13/11/2024,https://www.rostock-port.de/
rail_company_5546,5546,Hüttner,Hüttner Transport & Logistik GmbH & Co KG,DE,12/11/2024,13/11/2024,https://www.huettner-holztransporte.de/
rail_company_5547,5547,RC ASO,RATP Cap Arc Sud et Ouest,FR,14/11/2024,18/11/2024,https://ratpgroup.com/fr/
rail_company_5548,5548,CTSF,Compagnie de traction et de services ferroviaires,FR,14/11/2024,18/11/2024,
rail_company_5549,5549,Marschbahn,DB Regio Marschbahn GmbH,DE,18/11/2024,25/11/2024,
rail_company_5550,5550,LAG,Lokalbahn Betriebsgesellschaft mbH,DE,20/11/2024,25/11/2024,
rail_company_5551,5551,Weisse Flotte,Weisse Flotte GmbH,DE,21/11/2024,25/11/2024,
rail_company_5552,5552,FRS Sylt,FRS Syltfahre GmbH & Co. KG,DE,21/11/2024,25/11/2024,https://www.frs.world/
rail_company_5553,5553,FRS Helgo,FRS Helgoline GmbH & Co. KG,DE,21/11/2024,25/11/2024,https://www.frs.world/
rail_company_5554,5554,VHB,Verkehrsunternehmen Hegau-Bodensee Verbund GmbH,DE,21/11/2024,25/11/2024,https://www.vhb-info.de/
rail_company_5555,5555,WESTbahn DE,WESTbahn Deutschland GmbH,DE,22/11/2024,25/11/2024,https://westbahn.at/en/
rail_company_5556,5556,ARO,Metrans Adria Rail d.o.o.,HR,25/11/2024,28/11/2024,https://metrans.eu/
rail_company_5557,5557,GWEM,GWEMER S.R.L.,IT,25/11/2024,28/11/2024,https://duro-dakovic.com/
rail_company_5558,5558,Inferno Comms,Inferno Communications Ltd,GB,25/11/2024,28/11/2024,https://inferno.co.uk/
rail_company_5559,5559,GCA TRAC,GCA TRACTION,FR,26/11/2024,02/12/2024,https://www.charlesandre.com/
rail_company_5560,5560,ALVER Grain International,ALVER Grain International Ltd,BG,26/11/2024,02/12/2024,
